35.531,139.591,35.53,139.59
35.532,139.592,35.531,139.591
35.533,139.593,35.532,139.592
35.534,139.594,35.533,139.593
35.535,139.595,35.534,139.594
35.536,139.596,35.535,139.595
35.537,139.597,35.536,139.596
35.538,139.598,35.537,139.597
35.539,139.599,35.538,139.598
35.54,139.6,35.539,139.599
35.541,139.601,35.54,139.6
35.542,139.602,35.541,139.601
35.543,139.603,35.542,139.602
35.544,139.604,35.543,139.603
35.545,139.605,35.544,139.604
35.546,139.606,35.545,139.605
35.547,139.607,35.546,139.606
35.548,139.608,35.547,139.607
35.549,139.609,35.548,139.608
35.55,139.61,35.549,139.609
35.551,139.611,35.55,139.61
35.552,139.612,35.551,139.611
35.553,139.613,35.552,139.612
35.554,139.614,35.553,139.613
35.555,139.615,35.554,139.614
35.556,139.616,35.555,139.615
35.557,139.617,35.556,139.616
35.558,139.618,35.557,139.617
35.559,139.619,35.558,139.618
35.56,139.62,35.559,139.619
35.561,139.621,35.56,139.62
35.562,139.622,35.561,139.621
35.563,139.623,35.562,139.622
35.564,139.624,35.563,139.623
35.565,139.625,35.564,139.624
35.566,139.626,35.565,139.625
35.567,139.627,35.566,139.626
35.568,139.628,35.567,139.627
35.569,139.629,35.568,139.628
35.57,139.63,35.569,139.629
35.571,139.631,35.57,139.63
35.572,139.632,35.571,139.631
35.573,139.633,35.572,139.632
35.574,139.634,35.573,139.633
35.575,139.635,35.574,139.634
35.576,139.636,35.575,139.635
35.577,139.637,35.576,139.636
35.578,139.638,35.577,139.637
35.579,139.639,35.578,139.638
35.58,139.64,35.579,139.639
35.581,139.641,35.58,139.64
35.582,139.642,35.581,139.641
35.583,139.643,35.582,139.642
35.584,139.644,35.583,139.643
35.585,139.645,35.584,139.644
35.586,139.646,35.585,139.645
35.587,139.647,35.586,139.646
35.588,139.648,35.587,139.647
35.589,139.649,35.588,139.648
35.59,139.65,35.589,139.649
